season,round,id,abbr,price,priceChange,percentOwned,x2PercentOwned
2025,13,WIL,WIL,15.5,-0.6,26,$undefined
2025,14,ALP,ALP,8.9,-0.6,10,$undefined
2025,14,AST,AST,10.7,0.6,15,$undefined
2025,14,FER,FER,30,0.3,21,$undefined
2025,14,HAA,HAA,12,-0.2,20,$undefined
2025,14,KCK,KCK,8.7,0.6,15,$undefined
2025,14,MCL,MCL,33.9,0.3,40,$undefined
2025,14,MER,MER,25.4,0.3,17,$undefined
2025,14,RED,RED,28.1,0.3,10,$undefined
2025,14,VRB,VRB,11.8,-0.6,26,$undefined
2025,14,WIL,WIL,14.9,0.6,25,$undefined
2025,15,ALP,ALP,8.3,-0.6,10,$undefined
2025,15,AST,AST,11.3,0.6,17,$undefined
2025,15,FER,FER,30.3,0.1,20,$undefined
2025,15,HAA,HAA,11.8,0.6,19,$undefined
2025,15,KCK,KCK,9.3,0.6,16,$undefined
2025,15,MCL,MCL,34.2,0.3,40,$undefined
2025,15,MER,MER,25.7,0.3,17,$undefined
2025,15,RED,RED,28.4,0.3,10,$undefined
2025,15,VRB,VRB,11.2,0.6,25,$undefined
2025,15,WIL,WIL,15.5,0.6,25,$undefined
2025,16,ALP,ALP,7.7,0.2,10,$undefined
2025,16,AST,AST,11.9,0.6,17,$undefined
2025,16,FER,FER,30.4,0.1,20,$undefined
2025,16,HAA,HAA,12.4,0.2,19,$undefined
2025,16,KCK,KCK,9.9,0.6,15,$undefined
2025,16,MCL,MCL,34.5,0.3,40,$undefined
2025,16,MER,MER,26,0.3,17,$undefined
2025,16,RED,RED,28.7,0.3,10,$undefined
2025,16,VRB,VRB,11.8,0.6,26,$undefined
2025,16,WIL,WIL,16.1,0.6,25,$undefined
2025,17,ALP,ALP,7.9,0.2,11,$undefined
2025,17,AST,AST,12.5,-0.2,16,$undefined
2025,17,FER,FER,30.5,0.1,21,$undefined
2025,17,HAA,HAA,12.6,0.6,19,$undefined
2025,17,KCK,KCK,10.5,0.2,15,$undefined
2025,17,MCL,MCL,34.8,0.3,40,$undefined
2025,17,MER,MER,26.3,0.3,17,$undefined
2025,17,RED,RED,29,0.3,10,$undefined
2025,17,VRB,VRB,12.4,0.6,26,$undefined
2025,17,WIL,WIL,16.7,0.6,25,$undefined
2025,18,ALP,ALP,8.1,-0.2,11,$undefined
2025,18,AST,AST,12.3,-0.2,15,$undefined
2025,18,FER,FER,30.6,0.3,20,$undefined
2025,18,HAA,HAA,13.2,-0.2,18,$undefined
2025,18,KCK,KCK,10.7,-0.6,15,$undefined
2025,18,MCL,MCL,35.1,0.3,40,$undefined
2025,18,MER,MER,26.6,0.3,17,$undefined
2025,18,RED,RED,29.3,0.3,10,$undefined
2025,18,VRB,VRB,13,0.6,27,$undefined
2025,18,WIL,WIL,17.3,0.6,25,$undefined
2025,19,ALP,ALP,7.9,0.6,11,$undefined
2025,19,AST,AST,12.1,-0.2,15,$undefined
2025,19,FER,FER,30.9,0.3,19,$undefined
2025,19,HAA,HAA,13,0.2,18,$undefined
2025,19,KCK,KCK,10.1,0.6,15,$undefined
2025,19,MCL,MCL,35.4,-0.1,40,$undefined
2025,19,MER,MER,26.9,0.3,18,$undefined
2025,19,RED,RED,29.6,0.3,11,$undefined
2025,19,VRB,VRB,13.6,0.6,27,$undefined
2025,19,WIL,WIL,17.9,0.6,25,$undefined
2025,20,ALP,ALP,8.5,0.6,11,$undefined
2025,20,AST,AST,11.9,-0.2,15,$undefined
2025,20,FER,FER,31.2,0.3,19,$undefined
2025,20,HAA,HAA,13.2,0.6,18,$undefined
2025,20,KCK,KCK,10.7,-0.2,15,$undefined
2025,20,MCL,MCL,35.3,0.3,39,$undefined
2025,20,MER,MER,27.2,0.3,18,$undefined
2025,20,RED,RED,29.9,0.3,11,$undefined
2025,20,VRB,VRB,14.2,0.2,27,$undefined
2025,20,WIL,WIL,18.5,0.1,25,$undefined
2025,21,ALP,ALP,9.1,0.6,11,$undefined
2025,21,AST,AST,11.7,-0.6,16,$undefined
2025,21,FER,FER,31.5,0.3,19,$undefined
2025,21,HAA,HAA,13.8,0.6,18,$undefined
2025,21,KCK,KCK,10.5,-0.6,15,$undefined
2025,21,MCL,MCL,35.6,0.3,39,$undefined
2025,21,MER,MER,27.5,0.3,18,$undefined
2025,21,RED,RED,30.2,0.3,11,$undefined
2025,21,VRB,VRB,14.4,0.6,27,$undefined
2025,21,WIL,WIL,18.6,0.3,25,$undefined
2025,22,ALP,ALP,9.7,0.2,12,$undefined
2025,22,AST,AST,11.1,-0.6,16,$undefined
2025,22,FER,FER,31.8,0.1,19,$undefined
2025,22,HAA,HAA,14.4,0.6,18,$undefined
2025,22,KCK,KCK,9.9,-0.6,15,$undefined
2025,22,MCL,MCL,35.9,0.1,39,$undefined
2025,22,MER,MER,27.8,0.3,19,$undefined
2025,22,RED,RED,30.5,0.3,11,$undefined
2025,22,VRB,VRB,15,0.6,27,$undefined
2025,22,WIL,WIL,18.9,0.3,25,$undefined
2025,23,ALP,ALP,9.9,0.2,12,$undefined
2025,23,AST,AST,10.5,-0.2,16,$undefined
2025,23,FER,FER,31.9,-0.1,19,$undefined
2025,23,HAA,HAA,15,0.6,18,$undefined
2025,23,KCK,KCK,9.3,-0.6,15,$undefined
2025,23,MCL,MCL,36,0.1,38,$undefined
2025,23,MER,MER,28.1,0.3,19,$undefined
2025,23,RED,RED,30.8,0.3,11,$undefined
2025,23,VRB,VRB,15.6,0.6,27,$undefined
2025,23,WIL,WIL,19.2,0.3,25,$undefined
2025,24,ALP,ALP,10.1,-0.2,11,$undefined
2025,24,AST,AST,10.3,0.6,16,$undefined
2025,24,FER,FER,31.8,0.3,18,$undefined
2025,24,HAA,HAA,15.6,0.2,18,$undefined
2025,24,KCK,KCK,8.7,0.6,15,$undefined
2025,24,MCL,MCL,36.1,0.3,38,$undefined
2025,24,MER,MER,28.4,0.3,19,$undefined
2025,24,RED,RED,31.1,0.3,11,$undefined
2025,24,VRB,VRB,16.2,0.2,27,$undefined
2025,24,WIL,WIL,19.5,0.3,25,$undefined
