"season","round","raceName","points","constructorCode","constructorAbbr","constructor_name"
"2023","1","Bahrain Grand Prix","23","aston_martin","AST","Aston Martin"
"2023","1","Bahrain Grand Prix","2","alpine","ALP","Alpine F1 Team"
"2023","1","Bahrain Grand Prix","43","red_bull","RED","Red Bull"
"2023","1","Bahrain Grand Prix","0","mclaren","MCL","McLaren"
"2023","1","Bahrain Grand Prix","12","ferrari","FER","Ferrari"
"2023","1","Bahrain Grand Prix","0","haas","HAA","Haas F1 Team"
"2023","1","Bahrain Grand Prix","4","alfa","KCK","Alfa Romeo"
"2023","1","Bahrain Grand Prix","16","mercedes","MER","Mercedes"
"2023","1","Bahrain Grand Prix","1","williams","WIL","Williams"
"2023","1","Bahrain Grand Prix","0","alphatauri","","AlphaTauri"
"2023","2","Saudi Arabian Grand Prix","15","aston_martin","AST","Aston Martin"
"2023","2","Saudi Arabian Grand Prix","6","alpine","ALP","Alpine F1 Team"
"2023","2","Saudi Arabian Grand Prix","44","red_bull","RED","Red Bull"
"2023","2","Saudi Arabian Grand Prix","0","mclaren","MCL","McLaren"
"2023","2","Saudi Arabian Grand Prix","14","ferrari","FER","Ferrari"
"2023","2","Saudi Arabian Grand Prix","1","haas","HAA","Haas F1 Team"
"2023","2","Saudi Arabian Grand Prix","0","alfa","KCK","Alfa Romeo"
"2023","2","Saudi Arabian Grand Prix","22","mercedes","MER","Mercedes"
"2023","2","Saudi Arabian Grand Prix","0","williams","WIL","Williams"
"2023","2","Saudi Arabian Grand Prix","0","alphatauri","","AlphaTauri"
"2023","3","Australian Grand Prix","27","aston_martin","AST","Aston Martin"
"2023","3","Australian Grand Prix","0","alpine","ALP","Alpine F1 Team"
"2023","3","Australian Grand Prix","36","red_bull","RED","Red Bull"
"2023","3","Australian Grand Prix","12","mclaren","MCL","McLaren"
"2023","3","Australian Grand Prix","0","ferrari","FER","Ferrari"
"2023","3","Australian Grand Prix","6","haas","HAA","Haas F1 Team"
"2023","3","Australian Grand Prix","2","alfa","KCK","Alfa Romeo"
"2023","3","Australian Grand Prix","18","mercedes","MER","Mercedes"
"2023","3","Australian Grand Prix","0","williams","WIL","Williams"
"2023","3","Australian Grand Prix","1","alphatauri","","AlphaTauri"
"2023","4","Azerbaijan Grand Prix","18","aston_martin","AST","Aston Martin"
"2023","4","Azerbaijan Grand Prix","0","williams","WIL","Williams"
"2023","4","Azerbaijan Grand Prix","0","alpine","ALP","Alpine F1 Team"
"2023","4","Azerbaijan Grand Prix","43","red_bull","RED","Red Bull"
"2023","4","Azerbaijan Grand Prix","2","mclaren","MCL","McLaren"
"2023","4","Azerbaijan Grand Prix","25","ferrari","FER","Ferrari"
"2023","4","Azerbaijan Grand Prix","0","haas","HAA","Haas F1 Team"
"2023","4","Azerbaijan Grand Prix","0","alfa","KCK","Alfa Romeo"
"2023","4","Azerbaijan Grand Prix","13","mercedes","MER","Mercedes"
"2023","4","Azerbaijan Grand Prix","1","alphatauri","","AlphaTauri"
"2023","5","Miami Grand Prix","15","aston_martin","AST","Aston Martin"
"2023","5","Miami Grand Prix","6","alpine","ALP","Alpine F1 Team"
"2023","5","Miami Grand Prix","44","red_bull","RED","Red Bull"
"2023","5","Miami Grand Prix","0","mclaren","MCL","McLaren"
"2023","5","Miami Grand Prix","16","ferrari","FER","Ferrari"
"2023","5","Miami Grand Prix","1","haas","HAA","Haas F1 Team"
"2023","5","Miami Grand Prix","0","alfa","KCK","Alfa Romeo"
"2023","5","Miami Grand Prix","20","mercedes","MER","Mercedes"
"2023","5","Miami Grand Prix","0","williams","WIL","Williams"
"2023","5","Miami Grand Prix","0","alphatauri","","AlphaTauri"
"2023","6","Monaco Grand Prix","18","aston_martin","AST","Aston Martin"
"2023","6","Monaco Grand Prix","21","alpine","ALP","Alpine F1 Team"
"2023","6","Monaco Grand Prix","25","red_bull","RED","Red Bull"
"2023","6","Monaco Grand Prix","3","mclaren","MCL","McLaren"
"2023","6","Monaco Grand Prix","12","ferrari","FER","Ferrari"
"2023","6","Monaco Grand Prix","0","haas","HAA","Haas F1 Team"
"2023","6","Monaco Grand Prix","0","alfa","KCK","Alfa Romeo"
"2023","6","Monaco Grand Prix","23","mercedes","MER","Mercedes"
"2023","6","Monaco Grand Prix","0","williams","WIL","Williams"
"2023","6","Monaco Grand Prix","0","alphatauri","","AlphaTauri"
"2023","7","Spanish Grand Prix","14","aston_martin","AST","Aston Martin"
"2023","7","Spanish Grand Prix","5","alpine","ALP","Alpine F1 Team"
"2023","7","Spanish Grand Prix","38","red_bull","RED","Red Bull"
"2023","7","Spanish Grand Prix","0","mclaren","MCL","McLaren"
"2023","7","Spanish Grand Prix","10","ferrari","FER","Ferrari"
"2023","7","Spanish Grand Prix","0","haas","HAA","Haas F1 Team"
"2023","7","Spanish Grand Prix","2","alfa","KCK","Alfa Romeo"
"2023","7","Spanish Grand Prix","33","mercedes","MER","Mercedes"
"2023","7","Spanish Grand Prix","0","williams","WIL","Williams"
"2023","7","Spanish Grand Prix","0","alphatauri","","AlphaTauri"
"2023","8","Canadian Grand Prix","20","aston_martin","AST","Aston Martin"
"2023","8","Canadian Grand Prix","6","williams","WIL","Williams"
"2023","8","Canadian Grand Prix","34","red_bull","RED","Red Bull"
"2023","8","Canadian Grand Prix","4","alpine","ALP","Alpine F1 Team"
"2023","8","Canadian Grand Prix","22","ferrari","FER","Ferrari"
"2023","8","Canadian Grand Prix","0","mclaren","MCL","McLaren"
"2023","8","Canadian Grand Prix","0","haas","HAA","Haas F1 Team"
"2023","8","Canadian Grand Prix","1","alfa","KCK","Alfa Romeo"
"2023","8","Canadian Grand Prix","15","mercedes","MER","Mercedes"
"2023","8","Canadian Grand Prix","0","alphatauri","","AlphaTauri"
"2023","9","Austrian Grand Prix","12","aston_martin","AST","Aston Martin"
"2023","9","Austrian Grand Prix","1","alpine","ALP","Alpine F1 Team"
"2023","9","Austrian Grand Prix","41","red_bull","RED","Red Bull"
"2023","9","Austrian Grand Prix","12","mclaren","MCL","McLaren"
"2023","9","Austrian Grand Prix","26","ferrari","FER","Ferrari"
"2023","9","Austrian Grand Prix","0","haas","HAA","Haas F1 Team"
"2023","9","Austrian Grand Prix","0","alfa","KCK","Alfa Romeo"
"2023","9","Austrian Grand Prix","10","mercedes","MER","Mercedes"
"2023","9","Austrian Grand Prix","0","williams","WIL","Williams"
"2023","9","Austrian Grand Prix","0","alphatauri","","AlphaTauri"
"2023","10","British Grand Prix","6","aston_martin","AST","Aston Martin"
"2023","10","British Grand Prix","0","alpine","ALP","Alpine F1 Team"
"2023","10","British Grand Prix","0","alfa","KCK","Alfa Romeo"
"2023","10","British Grand Prix","34","red_bull","RED","Red Bull"
"2023","10","British Grand Prix","30","mclaren","MCL","McLaren"
"2023","10","British Grand Prix","4","williams","WIL","Williams"
"2023","10","British Grand Prix","0","haas","HAA","Haas F1 Team"
"2023","10","British Grand Prix","3","ferrari","FER","Ferrari"
"2023","10","British Grand Prix","25","mercedes","MER","Mercedes"
"2023","10","British Grand Prix","0","alphatauri","","AlphaTauri"
"2023","11","Hungarian Grand Prix","3","aston_martin","AST","Aston Martin"
"2023","11","Hungarian Grand Prix","0","williams","WIL","Williams"
"2023","11","Hungarian Grand Prix","0","alpine","ALP","Alpine F1 Team"
"2023","11","Hungarian Grand Prix","41","red_bull","RED","Red Bull"
"2023","11","Hungarian Grand Prix","28","mclaren","MCL","McLaren"
"2023","11","Hungarian Grand Prix","10","ferrari","FER","Ferrari"
"2023","11","Hungarian Grand Prix","0","haas","HAA","Haas F1 Team"
"2023","11","Hungarian Grand Prix","0","alfa","KCK","Alfa Romeo"
"2023","11","Hungarian Grand Prix","20","mercedes","MER","Mercedes"
"2023","11","Hungarian Grand Prix","0","alphatauri","","AlphaTauri"
"2023","13","Dutch Grand Prix","19","aston_martin","AST","Aston Martin"
"2023","13","Dutch Grand Prix","16","alpine","ALP","Alpine F1 Team"
"2023","13","Dutch Grand Prix","37","red_bull","RED","Red Bull"
"2023","13","Dutch Grand Prix","8","mclaren","MCL","McLaren"
"2023","13","Dutch Grand Prix","10","ferrari","FER","Ferrari"
"2023","13","Dutch Grand Prix","0","haas","HAA","Haas F1 Team"
"2023","13","Dutch Grand Prix","0","alfa","KCK","Alfa Romeo"
"2023","13","Dutch Grand Prix","8","mercedes","MER","Mercedes"
"2023","13","Dutch Grand Prix","4","williams","WIL","Williams"
"2023","13","Dutch Grand Prix","0","alphatauri","","AlphaTauri"
"2023","14","Italian Grand Prix","2","aston_martin","AST","Aston Martin"
"2023","14","Italian Grand Prix","6","williams","WIL","Williams"
"2023","14","Italian Grand Prix","43","red_bull","RED","Red Bull"
"2023","14","Italian Grand Prix","4","mclaren","MCL","McLaren"
"2023","14","Italian Grand Prix","27","ferrari","FER","Ferrari"
"2023","14","Italian Grand Prix","0","haas","HAA","Haas F1 Team"
"2023","14","Italian Grand Prix","0","alpine","ALP","Alpine F1 Team"
"2023","14","Italian Grand Prix","1","alfa","KCK","Alfa Romeo"
"2023","14","Italian Grand Prix","18","mercedes","MER","Mercedes"
"2023","14","Italian Grand Prix","0","alphatauri","","AlphaTauri"
"2023","15","Singapore Grand Prix","0","aston_martin","AST","Aston Martin"
"2023","15","Singapore Grand Prix","8","alpine","ALP","Alpine F1 Team"
"2023","15","Singapore Grand Prix","14","red_bull","RED","Red Bull"
"2023","15","Singapore Grand Prix","24","mclaren","MCL","McLaren"
"2023","15","Singapore Grand Prix","37","ferrari","FER","Ferrari"
"2023","15","Singapore Grand Prix","1","haas","HAA","Haas F1 Team"
"2023","15","Singapore Grand Prix","0","alfa","KCK","Alfa Romeo"
"2023","15","Singapore Grand Prix","16","mercedes","MER","Mercedes"
"2023","15","Singapore Grand Prix","0","williams","WIL","Williams"
"2023","15","Singapore Grand Prix","2","alphatauri","","AlphaTauri"
"2023","16","Japanese Grand Prix","4","aston_martin","AST","Aston Martin"
"2023","16","Japanese Grand Prix","3","alpine","ALP","Alpine F1 Team"
"2023","16","Japanese Grand Prix","26","red_bull","RED","Red Bull"
"2023","16","Japanese Grand Prix","33","mclaren","MCL","McLaren"
"2023","16","Japanese Grand Prix","20","ferrari","FER","Ferrari"
"2023","16","Japanese Grand Prix","0","haas","HAA","Haas F1 Team"
"2023","16","Japanese Grand Prix","0","alfa","KCK","Alfa Romeo"
"2023","16","Japanese Grand Prix","16","mercedes","MER","Mercedes"
"2023","16","Japanese Grand Prix","0","williams","WIL","Williams"
"2023","16","Japanese Grand Prix","0","alphatauri","","AlphaTauri"
"2023","17","Qatar Grand Prix","8","aston_martin","AST","Aston Martin"
"2023","17","Qatar Grand Prix","6","alpine","ALP","Alpine F1 Team"
"2023","17","Qatar Grand Prix","27","red_bull","RED","Red Bull"
